"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 18, 2022","4,037.2100000","4,037.6700000","4,041.1400000","3,996.8500000","11,518,941,664","0,0"
"Nov 17, 2022","4,043.7200000","4,083.6100000","4,098.4600000","4,020.5600000","14,807,364,403","0,0"
"Nov 16, 2022","4,081.7200000","4,027.7700000","4,097.0500000","4,012.5500000","17,946,640,480","0,0"
"Nov 15, 2022","4,071.7200000","4,132.3700000","4,152.1300000","4,059.1800000","21,221,324,916","0,0"
"Nov 14, 2022","4,124.7800000","4,107.2400000","4,134.3000000","4,080.6100000","24,984,348,377","0,0"
"Nov 11, 2022","4,079.5700000","4,103.0700000","4,108.6500000","4,064.6600000","21,615,383,144","0,0"
"Nov 10, 2022","4,082.2500000","4,004.3800000","4,087.7900000","3,978.1600000","34,669,155,284","0,0"
"Nov 09, 2022","4,001.0300000","4,085.6200000","4,090.8300000","4,000.0500000","17,526,220,673","0,0"
"Nov 08, 2022","4,107.7700000","4,122.4300000","4,147.5600000","4,067.6400000","20,848,239,022","0,0"
"Nov 07, 2022","4,116.1000000","4,023.7100000","4,119.2700000","4,010.6100000","27,238,867,846","0,0"
"Nov 03, 2022","3,979.1500000","3,959.3000000","3,986.7400000","3,900.3000000","17,019,923,497","0,0"
"Nov 02, 2022","3,999.4900000","4,010.2400000","4,017.3200000","3,973.8700000","14,113,680,063","0,0"
"Nov 01, 2022","3,998.3700000","4,011.4900000","4,028.8100000","3,971.2400000","13,479,383,696","0,0"
"Oct 31, 2022","3,989.2300000","4,027.7600000","4,046.8100000","3,967.1500000","21,557,255,497","0,0"
"Oct 28, 2022","4,018.5600000","4,003.4800000","4,030.2100000","3,946.6100000","32,266,319,807","0,0"
"Oct 27, 2022","4,021.8200000","3,927.6700000","4,025.0100000","3,905.4200000","28,330,555,152","0,0"
"Oct 26, 2022","3,908.6700000","3,892.5500000","3,925.7700000","3,843.2700000","30,433,128,730","0,0"
"Oct 25, 2022","3,894.5900000","3,768.0600000","3,894.5900000","3,752.3900000","30,193,949,460","0,0"
"Oct 24, 2022","3,770.2400000","3,776.7500000","3,806.5300000","3,729.8300000","22,211,583,097","0,0"
"Oct 21, 2022","3,730.5500000","3,681.7300000","3,740.5900000","3,637.7500000","22,171,854,754","0,0"
"Oct 20, 2022","3,681.9400000","3,602.3300000","3,692.8500000","3,594.1900000","23,944,992,261","0,0"
"Oct 19, 2022","3,571.6400000","3,599.8300000","3,636.8000000","3,527.9400000","24,938,621,307","0,0"
"Oct 18, 2022","3,685.0300000","3,681.0900000","3,700.4000000","3,621.8100000","21,611,609,703","0,0"
"Oct 17, 2022","3,642.8000000","3,526.5200000","3,644.7000000","3,518.9500000","21,884,268,969","0,0"
"Oct 14, 2022","3,502.9200000","3,522.5200000","3,530.3700000","3,465.0700000","15,564,709,510","0,0"
"Oct 13, 2022","3,514.5500000","3,515.1000000","3,564.0500000","3,494.9000000","16,710,792,870","0,0"
"Oct 12, 2022","3,512.3100000","3,521.2600000","3,560.4900000","3,468.5300000","18,632,759,004","0,0"
"Oct 11, 2022","3,501.2400000","3,458.3600000","3,506.1000000","3,416.8400000","21,601,501,707","0,0"
"Oct 10, 2022","3,438.1800000","3,195.6400000","3,444.2700000","3,184.9200000","41,936,433,600","0,0"
"Oct 07, 2022","3,432.7600000","3,538.9800000","3,538.9800000","3,417.8400000","30,809,489,622","0,0"
"Oct 06, 2022","3,552.3500000","3,567.8700000","3,621.3000000","3,541.5600000","24,377,222,833","0,0"
"Oct 05, 2022","3,575.5900000","3,593.4500000","3,605.2400000","3,466.4300000","34,505,932,351","0,0"
"Oct 04, 2022","3,604.5400000","3,668.2700000","3,690.3100000","3,562.0100000","30,291,739,223","0,0"
"Oct 03, 2022","3,626.3800000","3,512.2500000","3,637.8700000","3,491.5100000","28,066,079,847","0,0"
"Sep 30, 2022","3,471.0600000","3,469.5000000","3,565.9500000","3,307.8100000","83,314,644,626","0,0"
"Sep 29, 2022","3,423.4700000","3,513.8700000","3,534.7000000","3,356.0000000","30,340,723,741","0,0"
"Sep 28, 2022","3,463.0600000","3,496.7800000","3,572.3300000","3,430.1500000","36,019,736,678","0,0"
"Sep 27, 2022","3,453.0100000","3,435.1600000","3,503.8700000","3,351.5600000","38,074,718,702","0,0"
"Sep 26, 2022","3,427.7100000","3,646.6300000","3,646.6300000","3,259.0500000","58,308,085,436","0,0"
"Sep 23, 2022","3,714.3400000","3,916.4400000","3,918.3600000","3,683.2600000","38,330,278,346","0,0"
"Sep 22, 2022","3,918.7600000","3,815.5300000","3,965.9700000","3,815.5300000","52,884,416,900","0,0"
"Sep 21, 2022","3,799.1100000","3,665.3100000","3,896.7600000","3,603.4200000","56,855,752,975","0,0"
"Sep 20, 2022","3,959.6900000","4,316.4200000","4,328.4900000","3,876.8300000","90,693,570,568","0,0"
"Sep 19, 2022","4,323.3000000","4,329.8200000","4,367.7500000","4,314.7600000","16,157,973,596","0,0"
"Sep 16, 2022","4,334.3300000","4,348.4600000","4,387.1700000","4,317.6600000","28,513,813,535","0,0"
"Sep 15, 2022","4,342.8100000","4,324.5600000","4,365.1500000","4,293.7700000","25,316,385,566","0,0"
"Sep 14, 2022","4,328.6300000","4,319.9600000","4,333.7400000","4,236.8000000","22,753,386,749","0,0"
"Sep 13, 2022","4,325.3100000","4,337.4600000","4,363.4000000","4,308.5500000","19,739,036,157","0,0"
"Sep 12, 2022","4,312.4600000","4,228.6700000","4,331.5400000","4,219.1700000","24,974,747,726","0,0"
"Sep 09, 2022","4,240.5500000","4,174.4400000","4,245.4500000","4,174.4400000","21,187,848,527","0,0"
"Sep 08, 2022","4,173.2800000","4,195.9300000","4,226.5400000","4,140.1300000","25,462,414,730","0,0"
"Sep 07, 2022","4,199.5100000","4,198.3200000","4,253.5500000","4,139.6000000","27,662,582,545","0,0"
"Sep 06, 2022","4,203.9500000","4,324.9800000","4,338.9000000","4,097.5400000","42,213,013,993","0,0"
"Sep 05, 2022","4,326.7500000","4,309.0500000","4,333.1000000","4,239.0900000","33,598,452,257","0,0"
"Sep 02, 2022","4,303.4900000","4,256.0800000","4,310.8800000","4,226.3900000","47,055,089,099","0,0"
"Sep 01, 2022","4,249.3400000","4,176.3300000","4,255.3300000","4,145.9400000","45,821,362,565","0,0"
"Aug 31, 2022","4,176.0000000","4,157.6500000","4,225.6700000","4,117.3600000","90,293,405,555","0,0"
"Aug 30, 2022","4,057.8800000","4,056.8300000","4,093.2100000","4,041.2300000","38,670,092,777","0,0"
"Aug 29, 2022","4,048.7800000","3,992.6200000","4,048.8100000","3,988.0500000","17,427,604,728","0,0"
"Aug 26, 2022","3,998.5900000","3,971.2800000","3,998.5900000","3,945.8900000","11,205,500,298","0,0"
"Aug 25, 2022","3,962.0100000","3,962.6400000","4,000.9000000","3,940.1300000","15,412,977,405","0,0"
"Aug 24, 2022","3,960.8600000","3,995.5400000","4,020.6100000","3,950.5200000","17,604,594,808","0,0"
"Aug 23, 2022","3,988.7000000","3,926.4200000","3,988.8900000","3,917.7700000","22,368,373,010","0,0"
"Aug 22, 2022","3,921.0300000","3,850.9900000","3,942.2100000","3,838.8500000","17,404,421,997","0,0"
"Aug 19, 2022","3,846.0900000","3,823.9900000","3,846.0900000","3,802.5800000","9,252,896,191","0,0"
"Aug 18, 2022","3,821.5300000","3,792.9600000","3,822.5700000","3,774.2700000","10,591,760,788","0,0"
"Aug 17, 2022","3,792.1000000","3,822.5300000","3,866.0700000","3,786.7800000","17,208,097,856","0,0"
"Aug 16, 2022","3,811.0400000","3,709.2100000","3,811.0400000","3,709.2100000","16,861,652,085","0,0"
"Aug 15, 2022","3,705.1700000","3,688.2300000","3,714.2300000","3,665.6600000","11,586,845,343","0,0"
"Aug 12, 2022","3,685.4200000","3,643.4500000","3,696.5000000","3,612.5700000","12,474,259,475","0,0"
"Aug 11, 2022","3,642.1500000","3,683.2000000","3,717.1500000","3,631.2700000","15,420,737,655","0,0"
"Aug 10, 2022","3,673.0800000","3,631.0300000","3,673.4500000","3,619.6900000","13,633,925,876","0,0"
"Aug 09, 2022","3,627.9000000","3,567.9800000","3,627.9000000","3,532.3900000","14,470,283,258","0,0"
"Aug 08, 2022","3,563.0600000","3,594.8900000","3,610.2400000","3,558.0100000","18,651,339,212","0,0"
"Aug 05, 2022","3,494.4700000","3,611.6600000","3,623.8600000","3,482.3600000","24,287,667,058","0,0"
"Aug 04, 2022","3,601.8500000","3,603.2300000","3,627.7000000","3,587.4900000","10,252,979,933","0,0"
"Aug 03, 2022","3,593.2800000","3,612.7100000","3,650.8500000","3,590.7200000","11,943,787,192","0,0"
"Aug 02, 2022","3,604.8700000","3,660.1800000","3,662.9900000","3,596.6300000","17,731,417,239","0,0"
"Aug 01, 2022","3,669.3400000","3,732.0300000","3,732.7900000","3,649.3100000","18,930,291,111","0,0"
"Jul 29, 2022","3,733.5600000","3,735.4500000","3,767.6900000","3,716.5100000","14,051,802,302","0,0"
"Jul 28, 2022","3,738.2800000","3,765.1200000","3,783.5200000","3,700.0700000","15,859,335,703","0,0"
"Jul 27, 2022","3,755.8600000","3,771.5900000","3,804.9200000","3,736.9700000","22,762,437,575","0,0"
"Jul 26, 2022","3,763.2800000","3,668.2900000","3,763.2800000","3,666.5400000","22,328,376,422","0,0"
"Jul 25, 2022","3,655.5400000","3,577.4900000","3,657.6200000","3,560.5700000","18,648,169,701","0,0"
"Jul 22, 2022","3,568.8100000","3,459.7700000","3,574.8200000","3,455.5200000","16,165,084,547","0,0"
"Jul 21, 2022","3,452.1400000","3,478.8000000","3,482.6000000","3,386.0700000","16,892,227,624","0,0"
"Jul 20, 2022","3,475.5800000","3,484.8800000","3,527.8800000","3,466.1300000","17,855,093,625","0,0"
"Jul 19, 2022","3,472.6100000","3,515.2100000","3,515.2100000","3,438.4000000","12,562,970,281","0,0"
"Jul 18, 2022","3,512.9900000","3,539.7800000","3,557.3600000","3,477.9400000","12,577,821,135","0,0"
"Jul 15, 2022","3,526.1700000","3,461.4700000","3,526.1700000","3,437.5300000","15,733,286,619","0,0"
"Jul 14, 2022","3,452.8800000","3,463.3500000","3,525.4100000","3,436.5100000","16,894,772,957","0,0"
"Jul 13, 2022","3,464.6100000","3,567.1400000","3,579.8800000","3,451.2600000","18,236,435,197","0,0"
"Jul 12, 2022","3,557.6100000","3,589.5200000","3,589.5200000","3,490.5500000","23,401,930,172","0,0"
"Jul 11, 2022","3,590.1100000","3,686.3600000","3,714.7300000","3,580.6700000","21,813,037,106","0,0"
"Jul 08, 2022","3,689.3600000","3,686.5200000","3,705.9100000","3,652.7700000","15,013,815,883","0,0"
"Jul 07, 2022","3,702.3300000","3,719.7600000","3,750.3400000","3,681.9900000","20,067,927,779","0,0"
"Jul 06, 2022","3,712.4500000","3,713.3500000","3,798.4000000","3,695.3200000","30,813,922,317","0,0"
"Jul 05, 2022","3,706.0000000","3,682.1300000","3,742.1400000","3,673.9900000","30,826,021,535","0,0"
"Jul 04, 2022","3,678.5000000","3,645.3000000","3,712.0100000","3,632.0600000","29,313,478,352","0,0"
"Jul 01, 2022","3,636.9000000","3,603.6400000","3,673.0900000","3,538.6200000","36,279,102,939","0,0"
"Jun 30, 2022","3,596.1600000","3,836.6900000","3,862.1600000","3,532.6700000","95,853,549,556","0,0"
"Jun 29, 2022","3,836.4700000","3,915.7500000","3,915.7500000","3,816.4000000","24,789,727,236","0,0"
"Jun 28, 2022","3,919.8000000","3,898.8400000","3,923.6700000","3,848.1100000","27,243,806,856","0,0"
"Jun 27, 2022","3,891.2100000","3,797.6900000","3,891.2100000","3,796.4800000","21,979,205,547","0,0"
"Jun 24, 2022","3,796.5300000","3,812.6900000","3,824.8900000","3,759.6200000","22,286,675,061","0,0"
"Jun 23, 2022","3,806.9800000","3,762.9500000","3,825.0300000","3,722.7000000","38,155,402,999","0,0"
"Jun 22, 2022","3,757.2600000","3,695.5600000","3,757.2600000","3,644.9500000","33,000,213,295","0,0"
"Jun 21, 2022","3,712.1100000","3,792.5400000","3,819.8900000","3,710.3100000","37,108,540,655","0,0"
"Jun 20, 2022","3,783.2600000","3,644.1800000","3,783.2600000","3,644.1800000","24,631,310,895","0,0"
"Jun 17, 2022","3,634.2400000","3,657.5400000","3,696.3800000","3,618.8000000","15,225,265,304","0,0"
"Jun 16, 2022","3,651.4900000","3,591.7500000","3,674.8900000","3,587.2600000","23,493,458,217","0,0"
"Jun 15, 2022","3,589.1200000","3,547.0800000","3,595.6600000","3,542.1000000","23,757,197,045","0,0"
"Jun 14, 2022","3,545.8300000","3,553.0300000","3,566.0300000","3,514.7700000","23,764,174,427","0,0"
"Jun 10, 2022","3,561.5900000","3,554.0100000","3,575.5100000","3,535.9400000","14,425,054,120","0,0"
"Jun 09, 2022","3,578.6600000","3,633.9200000","3,637.1300000","3,559.6000000","17,208,786,998","0,0"
"Jun 08, 2022","3,630.3300000","3,613.3500000","3,672.1000000","3,613.3500000","23,452,747,403","0,0"
"Jun 07, 2022","3,608.5100000","3,607.2900000","3,619.0400000","3,537.0900000","13,283,338,061","0,0"
"Jun 06, 2022","3,608.2900000","3,630.2600000","3,653.3600000","3,596.5100000","11,940,619,250","0,0"
"Jun 03, 2022","3,625.1500000","3,677.4500000","3,683.5500000","3,573.9500000","16,921,588,311","0,0"
"Jun 02, 2022","3,675.3500000","3,718.1300000","3,735.8800000","3,647.8000000","15,635,463,384","0,0"
"Jun 01, 2022","3,717.7800000","3,703.9200000","3,742.7900000","3,679.9500000","16,799,831,416","0,0"
"May 31, 2022","3,707.5700000","3,787.2800000","3,787.8600000","3,701.6200000","13,854,603,687","0,0"
"May 30, 2022","3,785.7700000","3,832.6400000","3,847.9100000","3,762.0500000","19,554,070,350","0,0"
"May 27, 2022","3,817.2200000","3,811.7300000","3,834.3600000","3,795.8500000","26,839,557,123","0,0"
"May 26, 2022","3,796.9300000","3,735.3200000","3,810.2700000","3,703.9000000","54,602,304,415","0,0"
"May 25, 2022","3,725.4500000","3,661.1200000","3,725.4500000","3,635.8300000","21,197,869,861","0,0"
"May 24, 2022","3,645.2500000","3,676.4600000","3,680.9800000","3,547.5600000","25,948,686,448","0,0"
"May 23, 2022","3,677.7300000","3,835.2600000","3,848.7200000","3,676.0400000","18,708,952,315","0,0"
"May 20, 2022","3,821.8200000","3,947.2500000","3,962.3500000","3,811.9200000","17,576,824,539","0,0"
