<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USD000UTSTOM [CETS],Daily,20030415,000000,31.185000,31.197500,31.185000,31.197000,36311.000000
USD000UTSTOM [CETS],Daily,20030416,000000,31.195000,31.195000,31.185000,31.188500,23372.000000
USD000UTSTOM [CETS],Daily,20030417,000000,31.180000,31.200000,31.170000,31.197500,60261.000000
USD000UTSTOM [CETS],Daily,20030418,000000,31.197500,31.197500,31.180000,31.180100,33785.000000
USD000UTSTOM [CETS],Daily,20030421,000000,31.106500,31.110000,31.100000,31.102500,16609.000000
USD000UTSTOM [CETS],Daily,20030422,000000,31.101000,31.110000,31.090000,31.102500,19690.000000
USD000UTSTOM [CETS],Daily,20030423,000000,31.100000,31.104000,31.100000,31.100100,34450.000000
USD000UTSTOM [CETS],Daily,20030424,000000,31.100000,31.100500,31.100000,31.100000,626341.000000
USD000UTSTOM [CETS],Daily,20030425,000000,31.100000,31.100500,31.100000,31.100000,726243.000000
USD000UTSTOM [CETS],Daily,20030428,000000,31.100000,31.101000,31.100000,31.100000,417891.000000
USD000UTSTOM [CETS],Daily,20030429,000000,31.100000,31.100500,31.100000,31.100000,227458.000000
USD000UTSTOM [CETS],Daily,20030430,000000,31.100000,31.107500,31.100000,31.107500,12708.000000
USD000UTSTOM [CETS],Daily,20030505,000000,31.110000,31.115000,31.109000,31.114000,18670.000000
USD000UTSTOM [CETS],Daily,20030506,000000,31.120000,31.120500,31.117500,31.120500,11294.000000
USD000UTSTOM [CETS],Daily,20030507,000000,31.100000,31.105000,31.100000,31.100200,53110.000000
USD000UTSTOM [CETS],Daily,20030508,000000,31.100000,31.102000,31.100000,31.100000,136572.000000
USD000UTSTOM [CETS],Daily,20030512,000000,31.100000,31.100000,30.980000,30.990000,40030.000000
USD000UTSTOM [CETS],Daily,20030513,000000,30.980000,30.982500,30.980000,30.980000,121653.000000
USD000UTSTOM [CETS],Daily,20030514,000000,30.980000,30.982000,30.980000,30.980100,67421.000000
USD000UTSTOM [CETS],Daily,20030515,000000,30.980000,30.981000,30.980000,30.980000,389144.000000
USD000UTSTOM [CETS],Daily,20030516,000000,30.890000,30.895000,30.890000,30.890000,288302.000000
USD000UTSTOM [CETS],Daily,20030519,000000,30.890000,30.890500,30.890000,30.890000,695902.000000
USD000UTSTOM [CETS],Daily,20030520,000000,30.890000,30.891000,30.890000,30.890000,686039.000000
USD000UTSTOM [CETS],Daily,20030521,000000,30.890000,30.893000,30.890000,30.890000,442755.000000
USD000UTSTOM [CETS],Daily,20030522,000000,30.890000,30.890000,30.772500,30.790000,61898.000000
USD000UTSTOM [CETS],Daily,20030526,000000,30.720000,30.720500,30.720000,30.720000,729463.000000
USD000UTSTOM [CETS],Daily,20030527,000000,30.720000,30.721000,30.720000,30.720000,624623.000000
USD000UTSTOM [CETS],Daily,20030528,000000,30.580000,30.645000,30.580000,30.635000,44368.000000
USD000UTSTOM [CETS],Daily,20030529,000000,30.640500,30.770000,30.635000,30.750000,89604.000000
USD000UTSTOM [CETS],Daily,20030530,000000,30.760000,30.760000,30.667500,30.692500,42505.000000
USD000UTSTOM [CETS],Daily,20030602,000000,30.640000,30.685000,30.635000,30.679900,103710.000000
USD000UTSTOM [CETS],Daily,20030603,000000,30.735000,30.760000,30.725000,30.760000,228398.000000
USD000UTSTOM [CETS],Daily,20030604,000000,30.760000,30.760000,30.690000,30.717500,363695.000000
USD000UTSTOM [CETS],Daily,20030605,000000,30.670000,30.670000,30.570000,30.608000,150079.000000
USD000UTSTOM [CETS],Daily,20030606,000000,30.560000,30.570000,30.560000,30.560000,602888.000000
USD000UTSTOM [CETS],Daily,20030609,000000,30.460000,30.555000,30.430000,30.550000,78311.000000
USD000UTSTOM [CETS],Daily,20030610,000000,30.580000,30.630000,30.531000,30.625000,76372.000000
USD000UTSTOM [CETS],Daily,20030611,000000,30.640000,30.640000,30.460000,30.507500,108113.000000
USD000UTSTOM [CETS],Daily,20030616,000000,30.510000,30.510000,30.407500,30.407500,75252.000000
USD000UTSTOM [CETS],Daily,20030617,000000,30.380000,30.385000,30.380000,30.380100,102687.000000
USD000UTSTOM [CETS],Daily,20030618,000000,30.380000,30.390000,30.380000,30.387500,636062.000000
USD000UTSTOM [CETS],Daily,20030619,000000,30.390000,30.399500,30.380000,30.380000,382736.000000
USD000UTSTOM [CETS],Daily,20030621,000000,30.320000,30.332500,30.315000,30.325000,25920.000000
USD000UTSTOM [CETS],Daily,20030623,000000,30.330000,30.430000,30.320000,30.390000,39381.000000
USD000UTSTOM [CETS],Daily,20030624,000000,30.360000,30.374500,30.317500,30.320000,124087.000000
USD000UTSTOM [CETS],Daily,20030625,000000,30.300000,30.345000,30.300000,30.330000,46347.000000
USD000UTSTOM [CETS],Daily,20030626,000000,30.340000,30.340000,30.317500,30.325100,87299.000000
USD000UTSTOM [CETS],Daily,20030627,000000,30.330000,30.390000,30.330000,30.382500,95215.000000
USD000UTSTOM [CETS],Daily,20030630,000000,30.360000,30.395000,30.347500,30.352500,26568.000000
USD000UTSTOM [CETS],Daily,20030701,000000,30.320100,30.335000,30.280000,30.285000,47166.000000
USD000UTSTOM [CETS],Daily,20030702,000000,30.280000,30.282600,30.280000,30.280000,366928.000000
USD000UTSTOM [CETS],Daily,20030704,000000,30.295000,30.307500,30.280000,30.307500,41539.000000
USD000UTSTOM [CETS],Daily,20030707,000000,30.300000,30.350000,30.297500,30.345000,157813.000000
USD000UTSTOM [CETS],Daily,20030708,000000,30.400000,30.452500,30.330100,30.420000,100088.000000
USD000UTSTOM [CETS],Daily,20030709,000000,30.430000,30.450100,30.370000,30.375000,44903.000000
USD000UTSTOM [CETS],Daily,20030710,000000,30.320100,30.400000,30.320100,30.397500,37653.000000
USD000UTSTOM [CETS],Daily,20030711,000000,30.390000,30.435000,30.375000,30.435000,25698.000000
USD000UTSTOM [CETS],Daily,20030714,000000,30.499900,30.500000,30.480000,30.500000,139537.000000
USD000UTSTOM [CETS],Daily,20030715,000000,30.540000,30.550000,30.495000,30.510000,513659.000000
USD000UTSTOM [CETS],Daily,20030716,000000,30.535000,30.535000,30.480000,30.505000,38323.000000
USD000UTSTOM [CETS],Daily,20030717,000000,30.490000,30.500000,30.440000,30.450000,33609.000000
USD000UTSTOM [CETS],Daily,20030718,000000,30.430000,30.447500,30.415000,30.430000,63775.000000
USD000UTSTOM [CETS],Daily,20030721,000000,30.420000,30.420000,30.342500,30.360000,65356.000000
USD000UTSTOM [CETS],Daily,20030722,000000,30.335000,30.349000,30.290000,30.340000,99558.000000
USD000UTSTOM [CETS],Daily,20030723,000000,30.332500,30.369900,30.332500,30.353500,34040.000000
USD000UTSTOM [CETS],Daily,20030724,000000,30.365000,30.370000,30.337500,30.340000,36584.000000
USD000UTSTOM [CETS],Daily,20030725,000000,30.340000,30.340000,30.265000,30.285000,148117.000000
USD000UTSTOM [CETS],Daily,20030728,000000,30.270100,30.270100,30.240000,30.245000,190011.000000
USD000UTSTOM [CETS],Daily,20030729,000000,30.240000,30.247500,30.240000,30.245000,386958.000000
USD000UTSTOM [CETS],Daily,20030730,000000,30.255000,30.270000,30.250000,30.265000,34152.000000
USD000UTSTOM [CETS],Daily,20030731,000000,30.289900,30.290000,30.200000,30.250000,214915.000000
USD000UTSTOM [CETS],Daily,20030801,000000,30.245000,30.420000,30.245000,30.400000,66432.000000
USD000UTSTOM [CETS],Daily,20030804,000000,30.350000,30.355000,30.300000,30.317500,88855.000000
USD000UTSTOM [CETS],Daily,20030805,000000,30.280000,30.350000,30.277500,30.305000,103493.000000
USD000UTSTOM [CETS],Daily,20030806,000000,30.245000,30.330000,30.240000,30.302500,109693.000000
USD000UTSTOM [CETS],Daily,20030807,000000,30.320000,30.350000,30.315000,30.350000,107049.000000
USD000UTSTOM [CETS],Daily,20030808,000000,30.400000,30.450000,30.370000,30.425000,57929.000000
USD000UTSTOM [CETS],Daily,20030811,000000,30.390000,30.390000,30.335000,30.350000,28716.000000
USD000UTSTOM [CETS],Daily,20030812,000000,30.345000,30.400000,30.335000,30.392500,69933.000000
USD000UTSTOM [CETS],Daily,20030813,000000,30.412000,30.420000,30.360000,30.360000,122288.000000
USD000UTSTOM [CETS],Daily,20030814,000000,30.330000,30.383000,30.320000,30.350000,70472.000000
USD000UTSTOM [CETS],Daily,20030815,000000,30.350000,30.356500,30.330000,30.330000,61167.000000
USD000UTSTOM [CETS],Daily,20030818,000000,30.332500,30.340000,30.320000,30.332500,36479.000000
USD000UTSTOM [CETS],Daily,20030819,000000,30.280000,30.345000,30.280000,30.330000,59342.000000
USD000UTSTOM [CETS],Daily,20030820,000000,30.300000,30.327500,30.300000,30.318500,52291.000000
USD000UTSTOM [CETS],Daily,20030821,000000,30.325000,30.340000,30.315000,30.315000,59949.000000
USD000UTSTOM [CETS],Daily,20030822,000000,30.315000,30.315100,30.270000,30.272500,43591.000000
USD000UTSTOM [CETS],Daily,20030825,000000,30.255000,30.331000,30.255000,30.310000,67501.000000
USD000UTSTOM [CETS],Daily,20030826,000000,30.350000,30.400000,30.340000,30.385000,79240.000000
USD000UTSTOM [CETS],Daily,20030827,000000,30.397500,30.460000,30.370000,30.440000,97871.000000
USD000UTSTOM [CETS],Daily,20030828,000000,30.470000,30.550000,30.470000,30.487500,84840.000000
USD000UTSTOM [CETS],Daily,20030901,000000,30.517500,30.580000,30.517500,30.535000,50265.000000
USD000UTSTOM [CETS],Daily,20030902,000000,30.637500,30.637500,30.542500,30.597500,107253.000000
USD000UTSTOM [CETS],Daily,20030903,000000,30.604900,30.605100,30.595000,30.605000,272707.000000
USD000UTSTOM [CETS],Daily,20030904,000000,30.604900,30.730000,30.590000,30.685000,332122.000000
USD000UTSTOM [CETS],Daily,20030905,000000,30.684900,30.720000,30.645000,30.675200,252494.000000
USD000UTSTOM [CETS],Daily,20030908,000000,30.685000,30.750000,30.640100,30.655000,122965.000000
USD000UTSTOM [CETS],Daily,20030909,000000,30.685000,30.685000,30.625000,30.626000,47584.000000
USD000UTSTOM [CETS],Daily,20030910,000000,30.620000,30.645000,30.610000,30.645000,49497.000000
USD000UTSTOM [CETS],Daily,20030911,000000,30.660000,30.669000,30.642500,30.650000,36203.000000
USD000UTSTOM [CETS],Daily,20030912,000000,30.650000,30.717500,30.645000,30.715000,48819.000000
USD000UTSTOM [CETS],Daily,20030915,000000,30.705000,30.705000,30.675100,30.680100,47934.000000
USD000UTSTOM [CETS],Daily,20030916,000000,30.660000,30.740000,30.660000,30.690100,135084.000000
USD000UTSTOM [CETS],Daily,20030917,000000,30.704900,30.704900,30.635000,30.635000,62014.000000
USD000UTSTOM [CETS],Daily,20030918,000000,30.610000,30.610000,30.563000,30.575000,50376.000000
USD000UTSTOM [CETS],Daily,20030919,000000,30.587500,30.587500,30.527500,30.527500,47074.000000
USD000UTSTOM [CETS],Daily,20030922,000000,30.497500,30.505000,30.460000,30.490000,36329.000000
USD000UTSTOM [CETS],Daily,20030923,000000,30.493000,30.520000,30.450000,30.458000,66416.000000
USD000UTSTOM [CETS],Daily,20030924,000000,30.450000,30.460000,30.400000,30.410000,84281.000000
USD000UTSTOM [CETS],Daily,20030925,000000,30.400000,30.540000,30.400000,30.465000,127768.000000
USD000UTSTOM [CETS],Daily,20030926,000000,30.500000,30.545000,30.485000,30.545000,88342.000000
USD000UTSTOM [CETS],Daily,20030929,000000,30.600000,30.632500,30.600000,30.600000,71675.000000
USD000UTSTOM [CETS],Daily,20030930,000000,30.605000,30.620000,30.570000,30.570000,101736.000000
USD000UTSTOM [CETS],Daily,20031001,000000,30.565000,30.577500,30.517500,30.517500,57223.000000
USD000UTSTOM [CETS],Daily,20031002,000000,30.495000,30.500000,30.430000,30.450000,61190.000000
USD000UTSTOM [CETS],Daily,20031003,000000,30.442500,30.445000,30.427500,30.435000,72789.000000
USD000UTSTOM [CETS],Daily,20031006,000000,30.475000,30.475000,30.442500,30.450000,45110.000000
USD000UTSTOM [CETS],Daily,20031007,000000,30.424900,30.430000,30.358000,30.380000,131097.000000
USD000UTSTOM [CETS],Daily,20031008,000000,30.370000,30.397500,30.320000,30.320000,78847.000000
USD000UTSTOM [CETS],Daily,20031009,000000,30.200000,30.245000,30.175000,30.210000,964712.000000
USD000UTSTOM [CETS],Daily,20031013,000000,30.105000,30.250000,30.020000,30.245000,1321337.000000
USD000UTSTOM [CETS],Daily,20031014,000000,30.235000,30.235000,30.140000,30.142500,559966.000000
USD000UTSTOM [CETS],Daily,20031015,000000,30.120000,30.140000,30.100000,30.110000,48207.000000
USD000UTSTOM [CETS],Daily,20031016,000000,30.120000,30.130000,29.900000,30.090000,62437.000000
USD000UTSTOM [CETS],Daily,20031017,000000,30.080000,30.087500,30.055000,30.057400,65006.000000
USD000UTSTOM [CETS],Daily,20031020,000000,30.055000,30.055000,29.950000,29.980000,62561.000000
USD000UTSTOM [CETS],Daily,20031021,000000,29.930000,29.949900,29.915000,29.925000,67601.000000
USD000UTSTOM [CETS],Daily,20031022,000000,29.915100,29.927500,29.915000,29.915200,194665.000000
USD000UTSTOM [CETS],Daily,20031023,000000,29.915000,29.917500,29.915000,29.915000,380534.000000
USD000UTSTOM [CETS],Daily,20031024,000000,29.915000,29.930000,29.915000,29.915000,337168.000000
USD000UTSTOM [CETS],Daily,20031027,000000,30.084900,30.084900,30.020000,30.055000,627947.000000
USD000UTSTOM [CETS],Daily,20031028,000000,29.950000,29.951000,29.910000,29.915000,224330.000000
USD000UTSTOM [CETS],Daily,20031029,000000,29.890000,29.890000,29.797500,29.830000,91240.000000
USD000UTSTOM [CETS],Daily,20031030,000000,29.840000,29.875000,29.830000,29.870000,60319.000000
USD000UTSTOM [CETS],Daily,20031103,000000,29.950000,29.970000,29.860000,29.870000,50297.000000
USD000UTSTOM [CETS],Daily,20031104,000000,29.870000,29.875000,29.845600,29.860000,112612.000000
